title,uni,deadline
"Agentic AI for Integrative Multi-Omics Research in Cancer","The University of Manchester","1 April 2026"
"AI for patient electronic health records","University of Bristol","31 January 2026"
"AI-driven early detection of dementia using multimodal data","University of Bristol","31 January 2026"
"Integrative AI-driven multi-omics analysis to decode the tumour microenvironment in Lung Cancer","University of Bristol","31 January 2026"
"Understanding and reprogramming axonal transport with protein design","University of Bristol","31 January 2026"
"Using AI to identify and explain variation in the human genome driving disease","University of Bristol","31 January 2026"
"Machine Learning approaches to infer the regulation of cell division","Queen Mary University of London","29 January 2026"
"Methodology for Platform Trials with Composite Endpoints","Newcastle University","26 January 2026"
"Adapting personalised randomised controlled trial designs to increase efficiency and allow simultaneous assessment of intervention intensity","University College London","26 January 2026"
"Design solutions for differential placebo effects in MAMS studies with subjective outcomes.","University College London","26 January 2026"
"Designing late phase basket platform trials","University College London","26 January 2026"
"Generic MAMS designs: Multi-arm multi-stage (MAMS) designs with all types of intermediate and definitive outcomes","University College London","26 January 2026"
"Learning to trade-off: advancing composite outcome methods to improve non-inferiority designs","University College London","26 January 2026"
"Proportional odds model and win ratio: how can we ensure results are meaningful?","University College London","26 January 2026"
"Developing Approaches to Sample Size Determination in Clinical Trials with Novel Digital Endpoints","University of Cambridge","26 January 2026"
"Addressing patient mortality in hemodialysis via AI applied to metabolomics and material science","University of Edinburgh","20 January 2026"
"AI-Based Design and Cell-Free Synthesis of Next-Generation Phage Therapeutics","University of Edinburgh","20 January 2026"
"Computational analysis bridging multi-omic data from skin organoid culture to therapeutic targets for atopic eczema","University of Edinburgh","20 January 2026"
"Development and validation of homecage behavioural biomarkers to improve preclinical translation in laboratory rodents","University of Edinburgh","20 January 2026"
"Genetic epidemiology of bronchiectasis","University of Leicester","19 January 2026"
"Adapting to a Changing World: The Mechanisms of Genetic Adaptation to Habitat Aridification","University of Reading","19 January 2026"
"Characterisation of the Biodiversity and Ecology of Bacteriophages using Large-Scale Analyses of Metagenomic Data","University of Reading","19 January 2026"
"Decoding Airborne eDNA through AI to Uncover Biodiversity and Environmental Health Patterns","University of Reading","19 January 2026"
"FlightPath: Predicting Avian Influenza Evolution through AI-Powered Phylodynamics and Bird Migration Modelling","University of Reading","19 January 2026"
"Improving Methodologies of Whole Genome Assembly and Phylogeny Building in Historical Fungal Collections","University of Reading","19 January 2026"
"NERC RED-ALERT CDT: Bacteriophages as river pollutants: determining the impact of phage pollution, with focus on antimicrobial resistance.","Bangor University","16 January 2026"
"NERC RED-ALERT CDT: Impact of Sewage on Antimicrobial Resistance (AMR) and Pathogens in River Environments.","Cardiff University","16 January 2026"
"NERC RED-ALERT CDT: Ecological Surveillance using High-Throughput Quantitative Imaging.","University of Bath","16 January 2026"
"NERC RED-ALERT CDT: The emergence of antimicrobial resistance in wastewater.","University of Bath","16 January 2026"
"NERC RED-ALERT CDT: Can integrating multi-source environmental and biodiversity data with AI enable predictions of Harmful Algal Blooms in lakes and reservoirs?","University of Exeter","16 January 2026"
"NERC RED-ALERT CDT: Does stress priming in freshwater systems enhance the resilience of natural populations to environmental stress?","University of Exeter","16 January 2026"
"QUARTILES DLA: Proteomic Analysis of Dental Calculus to Investigate the Oral Microbiome and Diet in Medieval Ireland and Scotland","Queen’s University Belfast","14 January 2026"
"QUARTILES DLA CASE: Genetic diversity and adaptation: Developing indicators for national and international policy","University of Aberdeen","14 January 2026"
"QUARTILES DLA CASE: The genetic control of physiological traits in molluscan shellfish","University of Aberdeen","14 January 2026"
"QUARTILES DLA: Harnessing biogeochemical tags and environmental genomics to infer habitat use and age-related movement of an endangered shark: from evolutionary insights to conservation management","University of Aberdeen","14 January 2026"
"CR2026_34: CAPE — Cuticle-Active Phyllosphere Enzymes Bioprospecting microbial enzymes on leaf cuticles for sustainable plastic depolymerisation","Royal Botanic Gardens (KEW)","12 January 2026"
"CR2026_14: Tackling tropical timber illegality: forensic timber identification using dendrochemistry and bioinformatic analsyis of Merbau (Intsia sp.)","Swansea University","12 January 2026"
"CR2026_31: Fungal communication in competitive ecosystems","Swansea University","12 January 2026"
"CR2026_40: Decoding the seagrass microbiome under climate change: molecular insights into coastal resilience","Swansea University","12 January 2026"
"CR2026_05: Biodiversity, biogeography and ecology of red calcified coralline algae of Britain","The Natural History Museum","12 January 2026"
"CR2026_41: Molecular ecology of seagrass associated meiofauna, in healthy, declining, and restored meadows","The Natural History Museum","12 January 2026"
"Mapping Phage Diversity through Population-Scale Metagenomics in the Hunt for Novel Antimicrobials","University College London","12 January 2026"
"Unravelling the structural diversity of ultra-long CDR loops with antimicrobial potential","University College London","12 January 2026"
"Precision Medicine DTP - Analysis of biomarkers correlating with umbilical cord blood transplantation outcome","University of Edinburgh","12 January 2026"
"Precision Medicine DTP - Epidemiological and molecular prediction of severe infection response","University of Edinburgh","12 January 2026"
"Precision Medicine DTP - iCase: Examining causes and consequences of postpartum depression through large scale biobank data","University of Edinburgh","12 January 2026"
"Precision Medicine DTP - Modelling cellular plasticity in colorectal cancer metastasis and therapy relapse","University of Edinburgh","12 January 2026"
"Precision Medicine DTP - Multi-omic analysis of human kidney tissue to identify biomarkers and therapies targeting pathogenic cell phenotypes","University of Edinburgh","12 January 2026"
"Precision Medicine DTP - Reprogramming lipid signalling in neutrophils for precision treatment of sepsis","University of Edinburgh","12 January 2026"
"Precision Medicine DTP - Shedding light on Multiple Sclerosis: Neutrophils, Sunlight and Vitamin D","University of Edinburgh","12 January 2026"
"Precision Medicine DTP - Towards precision therapeutics for macrophages: developing a multi-organ understanding of macrophage control by TGF-β","University of Edinburgh","12 January 2026"
"Precision Medicine DTP - Understanding the relationship between autism and hypermobility","University of Edinburgh","12 January 2026"
"Precision Medicine DTP- Naturalising wound repair: how microbial diversity shapes immune resolution of skin injur","University of Edinburgh","12 January 2026"
"Precision Medicine DTP- Pain, prescribing and cognitive decline","University of Edinburgh","12 January 2026"
"Precision Medicine DTP – Biomarkers for Predicting Radiotherapy Side Effects to Improve Lung Cancer Patient Outcomes","University of Glasgow","12 January 2026"
"Precision Medicine DTP – Definition and Validation of mesothelioma endotypes associated  with treatment response and resistance based on multi-omic PREDICT-Meso data","University of Glasgow","12 January 2026"
"Precision Medicine DTP – Devlopment of a deep learning-based model to predict the mutational landscape of colorectal polyps from haematoxylin and eosin slides","University of Glasgow","12 January 2026"
"Precision Medicine DTP – Mitochondrial Metabotyping to Identify Targetable Metabolic Vulnerabilities in PIK3CA-associated Disorders","University of Glasgow","12 January 2026"
"Precision Medicine DTP – Identifying scar-associated macrophages in early Crohn’s disease","University of Glasgow","12 January 2026"
"Precision Medicine DTP – Precision serology – developing new statistical methods for the analysis of PhIP-Seq (Phage ImmunoPrecipitation Sequencing)  data","University of Glasgow","12 January 2026"
"CR2026_16: Beneath the surface: hidden topsoil–subsoil interactions driving grassland ecosystem services and sustainability","University of Reading","12 January 2026"
"CR2026_21: Deep Heat - root-microbe interactions under combined heat and drought stress","University of Reading","12 January 2026"
"CR2026_43: The evolutionary rise of dragonflies as efficient hunters through changing climates","University of Reading","12 January 2026"
"Next-generation chemical biology approaches to target intracellular receptors","University of Bath","9 January 2026"
"Decoding the Fibroblast-Osteocyte Relationship in Bone Remodelling Under Inflammatory Stress in Rheumatoid Arthritis","University of Birmingham","9 January 2026"
"Smoke and Microbes: impact of smoking, vaping and pollution on the respiratory microbiome","University of Birmingham","9 January 2026"
"Genomic instability and mutation during inflammation-induced initiation of cholangiocarcinoma","University of Leicester","9 January 2026"
"Exploring Care Pathways in Children with Respiratory Disease Prior to Critical Care Admission: A Data-Driven Approach","University of Leicester","9 January 2026"
"Integration of large-scale genetic and Magnetic Resonance Imaging (MRI) data to understand fibrosis across different organs","University of Leicester","9 January 2026"
"AP: Unravelling evolutionary uncertainty in African mammals: genomic insights into conservation and biogeographical patterns","Cardiff University","8 January 2026"
"Applying genomic approaches to understand bat population declines. NERC GW4+ DTP PhD studentship for September 2026 Entry","University of Exeter","8 January 2026"
"Evaluating bathing water quality indicators as proxies for antimicrobial resistance-implications for public health risk assessments. NERC GW4+ DTP PhD studentship for September 2026 Entry","University of Exeter","8 January 2026"
"Ecological significance of RNA phages in the wild","University of Southampton","8 January 2026"
"Exploring new drivers for nitrogen fixation in polar oceans","University of Southampton","8 January 2026"
"From Dirt to Data: Can Soil Bio-Indicate Rewilding Success?","University of Southampton","8 January 2026"
"Molecular basis of winter adaptation in the invasive horticultural pest Spotted Wing Drosophila","University of Southampton","8 January 2026"
"Oceanic Photosynthesis: Molecular Mechanisms to Climate Change","University of Southampton","8 January 2026"
"The role of the microbiome in plant invasions, and implications for future crops","University of Southampton","8 January 2026"
"Understanding phytoplankton metabolism by single cell sequencing","University of Southampton","8 January 2026"
"Mapping the Post-Transcriptional Regulatory Landscape of Enhancer RNAs in Cellular Homeostasis: Mechanisms of eRNA Regulation in Normal Physiology","Leeds Beckett University","7 January 2026"
"Uncovering how SFPQ prevents transcriptional collapse","Leeds Beckett University","7 January 2026"
"Extracellular vesicles and the microbiome: from top to bottom","Sheffield Hallam University","7 January 2026"
"The Silent Threat in Breast Cancer: A Systems Biology Approach to Decoding Tumour Cell Dormancy and the Drivers of Metastasis","Sheffield Hallam University","7 January 2026"
"Unravelling Platelet Interactions with Porphyromonas gingivalis","Sheffield Hallam University","7 January 2026"
"Animal Sensing Combined with Imaging Technologies for Early Disease Detection in Pre-Weaned Dairy-Bred Calves","SRUC - Scotland’s Rural College","7 January 2026"
"Defining the Pathogenicity of Shiga Toxin-Producing Escherichia coli from AI Tools","SRUC - Scotland’s Rural College","7 January 2026"
"Functional Understanding the Rumen Mycobiome via Consortia of Anaerobic Gut Fungi","SRUC - Scotland’s Rural College","7 January 2026"
"Host adaptation and population history of the scab mite Psoroptes ovis","SRUC - Scotland’s Rural College","7 January 2026"
"Integrating Environmental Drivers and Intelligent Surveillance Systems for Predictive Modelling of Marine Mammal Strandings: Statistical and Machine Learning Methods","SRUC - Scotland’s Rural College","7 January 2026"
"Using Epidemiological and Molecular Evidence to Support the Elimination of Porcine Reproductive and Respiratory Syndrome Virus in Scottish Pig Farms","SRUC - Scotland’s Rural College","7 January 2026"
"Microbial combat: The dynamic defence of soil microbiome in polluted environments","Teesside University","7 January 2026"
"The overlapping microbiome: ecology, function and resilience beyond species boundaries","University of Bath","7 January 2026"
"Deciphering kinase selectivity and regulation to develop a toolkit for studying the ‘dark’ kinome","University of Bradford","7 January 2026"
"Development of novel Adhirons-based conjugates for use in life science technologies","University of Bradford","7 January 2026"
"Developing a multi-organ understanding of macrophage control by TGF-β","University of Edinburgh","7 January 2026"
"Engineering and mechanistic analysis of the human embryonic haematopoietic stem cell (HSC) niche","University of Edinburgh","7 January 2026"
"The role of chromatin changes during epigenetic rejuvenation","University of Edinburgh","7 January 2026"
"Defining the role of tubulin isotypes in cancer and precision medicine","University of Edinburgh","7 January 2026"
"Dissecting the molecular mechanism of chromosome segregation in the marine plankton Paradiplonema papillatum","University of Edinburgh","7 January 2026"
"Investigating cell size control over gene expression in mammalian cell lines and cancer","University of Edinburgh","7 January 2026"
"Nuclear Envelope Directed Genome Organisation in Health and Disease","University of Edinburgh","7 January 2026"
"Genomic architecture of speciation and gene flow in an exceptionally diverse primate group","University of Edinburgh","7 January 2026"
"Does AI help biologists to record their science? Open Research from Electronic Lab Notebooks","University of Edinburgh","7 January 2026"
"Metagenomics and Functional Modelling of Microbial Communities for Bioremediation and Animal Health","University of Edinburgh","7 January 2026"
"Modelling the Stochastic Dynamics of Gene Expression in Cancer Cells","University of Edinburgh","7 January 2026"
"Chikungunya Virus Defective Viral Genomes: Unravelling mechanisms of formation, immune modulation and effect on viral pathogenesis","University of Leeds","7 January 2026"
"Decoding RNA Translation from Direct-FRAC-Seq Data with AI-Enhanced Graphical Models","University of Leeds","7 January 2026"
"Deconvoluting the sequence determinants for outer membrane protein folding, stability and function","University of Leeds","7 January 2026"
"Illuminating the role of ciliary transport factors outside cilia.","University of Leeds","7 January 2026"
"Mapping the Gut Guardians: TraDIS-Guided Genetic Insights into Bifidobacterium","University of Leeds","7 January 2026"
"BBSRC Yorkshire Bioscience DLA Programme - Decoding the epigenetic language shaping root parasite-host communication","University of Sheffield","7 January 2026"
"BBSRC Yorkshire Bioscience DLA Programme:  Genomics and development of an exaggerated sexual trait in stalk-eyed flies","University of Sheffield","7 January 2026"
"BBSRC Yorkshire Bioscience DLA Programme: Mechanical microenvironment as a regulator of ribosome biogenesis and cell growth","University of Sheffield","7 January 2026"
"BBSRC Yorkshire Bioscience DLA Programme: Natural GM: The Role of Horizontal Gene Transfer in Crop Adaptation and Evolution","University of Sheffield","7 January 2026"
"BBSRC Yorkshire Bioscience DLA Programme:  Harnessing JAK-STAT signalling for optimal innate immune cell function","University of Sheffield","7 January 2026"
"Deep Learning methods for polymorphism-aware phylogenetic models and temporal-spatial data","University of St Andrews","6 January 2026"
"Investigating the Molecular Mechanisms of RNA Virus Persistence","University of St Andrews","6 January 2026"
"Engineering feedback control loops into CAR-T therapeutics","University College London","5 January 2026"
"Learning phage genome organisation with predictive and generative models","University of Bath","5 January 2026"
"Exploring the 4D nexus between RNA-binding proteins and RNA","King’s College London","18 December 2025"
"EASTBIO SRUC CASE Combined therapeutic efficacy of bacteriophages and probiotics to control avian pathogenic Escherichia coli","SRUC - Scotland’s Rural College","15 December 2025"
"EastBio CASE: How to shape a shell? The developmental mechanisms controlling molluscan shell gland morphogenesis","University of Aberdeen","15 December 2025"
"EastBio: Applying AI to vaccine development in tackling a climate change-driven parasitic disease of salmonid fish.","University of Aberdeen","15 December 2025"
"EastBio: The genomic architecture of speciation in the Jaera albifrons complex of intertidal isopods","University of Aberdeen","15 December 2025"
"EastBio: Analysing toxin action using cell-based assays","University of Aberdeen","15 December 2025"
"EastBio: Brain imaging via qEEG: Functional biomarker for early diagnosis and patient stratification","University of Aberdeen","15 December 2025"
"EastBio: Decoding the Gut Virome and Its Role in Immune Regulation and Inflammation","University of Aberdeen","15 December 2025"
"EastBio: Exploring the Conserved Role(s) of Meiotic HORMAD proteins in Sexual Reproduction and Genome Stability","University of Aberdeen","15 December 2025"
"EastBio: Inflammatory Fat: Understanding how the immune system drives adipose tissue dysfunction using spatial lipidomics","University of Aberdeen","15 December 2025"
"EastBio: Somatic mutation as drivers of ageing immune dysfunction","University of Aberdeen","15 December 2025"
"EastBio: Using machine learning to predict optimal food swaps that improve individual and planetary health","University of Aberdeen","15 December 2025"
"EastBio: Neurocognitive mechanisms of altercentric perception and visual perspective taking","University of Aberdeen","15 December 2025"
"PhD studentship: Generative Modelling for Foundational Discovery in Biomedicine","University of Cambridge","15 December 2025"
"EASTBIO - How do Dysregulated Signalling Pathways cause Intellectual Disability?","University of Dundee","15 December 2025"
"EASTBIO - Systems-Level Profiling of Functional Protein Interactions Through Chemical Biology","University of Dundee","15 December 2025"
"EASTBIO - The contribution of Streptococcus pneumoniae transcriptional heterogeneity to infection outcomes in colonisation and disease","University of Dundee","15 December 2025"
"EASTBIO - Understanding the genetic and molecular basis of complex glycan metabolism by the human gut microbiota","University of Dundee","15 December 2025"
"EASTBIO - Understanding the transport mechanism of the major facilitator superfamily of membrane transporters","University of Dundee","15 December 2025"
"EASTBIO	Cell type specific proteomics in longevity and ageing using Genetic Code Expansion technology","University of Edinburgh","15 December 2025"
"EASTBIO	Investigating neurocomputational mechanisms and modulatory factors of decision making in ecological settings","University of Edinburgh","15 December 2025"
"EASTBIO	Mechanisms regulating the protein composition of astrocyte endfeet in mice","University of Edinburgh","15 December 2025"
"EASTBIO	Multi-Modal Analysis of Neuronal Networks in Memory","University of Edinburgh","15 December 2025"
"EASTBIO	Novel Mechanisms of Astrocyte Control of Cortical Neuronal Development","University of Edinburgh","15 December 2025"
"EASTBIO - Dissecting CIC::DUX4 oncogenic circuitry through single-cell perturbation profiling and network inference","University of Edinburgh","15 December 2025"
"EASTBIO - Dissecting the effects of gene body methylation on gene expression in mammals","University of Edinburgh","15 December 2025"
"EASTBIO - Investigating the mutational consequences of transcription-damage interactions through computational modelling.","University of Edinburgh","15 December 2025"
"EASTBIO Community Engagement, Food Environments, and Environmental Impacts of Aquaculture in Marine Protected Areas—A Comparative Study of Scotland and Patagonia","University of Edinburgh","15 December 2025"
"EASTBIO Loch and key: Portable diagnostics to prevent the spread of shellfish disease","University of Edinburgh","15 December 2025"
"EASTBIO: Decoding signalling crosstalk and cell fate determination using microfluidics and engineered human pluripotent stem cells","University of Edinburgh","15 December 2025"
"EASTBIO: AI-Driven Protein Design for Targeting Cell Division and Proliferative Diseases","University of Edinburgh","15 December 2025"
